"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25064","Flight Search","firefox","2026-02-04","passed","2026-02-04","","flightSearch.spec.ts","",""
"","21206","Flight Search","chromium","2026-02-04","passed","2026-02-04","","flightSearch.spec.ts","",""
